city,lat,lng,pop,province
Yumen,39.83003522,97.72999304,233097,Gansu
Linxia,35.60000917,103.2000468,368478.5,Gansu
Zhuozhou,39.54005292,115.789976,415000,Beijing
Sanming,26.2299868,117.5800476,104941.5,Fujian
Huizhou,23.07997235,114.3999833,289201,Guangdong
Chaozhou,23.68003908,116.630028,424787,Guangdong
Gyangze,28.95000165,89.63332963,10000,Xizang
Dali,34.79525209,109.937775,109696,Shaanxi
Yangquan,37.86997398,113.5700081,851801.5,Shanxi
Shiyan,32.57003908,110.7799975,653823.5,Hubei
Danjiangkou,32.5200163,111.5000052,92008,Hubei
Shashi,30.32002138,112.2299865,509390,Hubei
Anlu,31.26998924,113.670002,71198,Hubei
Zixing,25.96997683,113.4000443,6618,Hunan
Deyang,31.13333091,104.3999735,152194,Sichuan
Tengchong,25.03331565,98.46658891,126058,Yunnan
Mengzi,23.3619448,103.4061324,303341,Yunnan
Chuxiong,25.03641624,101.5455741,254370,Yunnan
Hengshui,37.71998313,115.7000073,456356,Hebei
Xuanhua,40.59440716,115.0243379,391583.5,Hebei
Luohe,33.57000388,114.02998,417356,Henan
Beipiao,41.81001772,120.7600085,191757,Liaoning
Wafangdian,39.62591331,121.9959537,303217.5,Liaoning
Zhucheng,35.98995953,119.3800927,881963.5,Shandong
Hangu,39.23195803,117.7769864,270581,Tianjin
Xinyi,34.38000612,118.3500264,962656,Jiangsu
Yangzhou,32.39999778,119.4300122,539715,Jiangsu
Linhai,28.85000775,121.1199865,202348,Zhejiang
Huangyan,28.65001996,121.2500044,174580.5,Zhejiang
Daan,45.49999921,124.2999991,84795.5,Jilin
Changling,44.26999676,123.9899922,46703.5,Jilin
Tonghua,41.67997398,125.7499882,27227,Jilin
Baishan,41.90001223,126.4299983,330000,Jilin
Yanji,42.88230369,129.5127559,407848.5,Jilin
Ergun Zuoqi,50.78332013,121.5166548,42849,Nei Mongol
Shangdu,41.54943931,113.5338863,18831,Nei Mongol
Orongen Zizhiqi,50.56666669,123.7166756,40128,Nei Mongol
